18.25 12.82 14.68 17.17 9.14 5.98 17.23 13.19 13.67
11.93 14.68 10.51 15.12 13.58 13.77 10.3 13.35 5.83
16.06 13.66 12.32 10.6 6.35 14.94 10.56 14.42 12.12
17.32 7.98 11.08 18.31 11.78 11.32 11.43 12.94 7.19
15.2 7.81 8.57 17.96 5.98 11.36 15.06 13.51 12.44
11.39 5.32 7.32 12.86 6.25 6.71 18.59 13.71 14.96
18.97 9.36 5.81 11.86 10.49 5.92 17.03 6.87 9.89
17.12 10.15 11.72 16.65 11.93 11.77 10.86 5.17 13.11
10.79 5.64 7.84 13.86 5.06 5.31 10.41 12.03 11.38
13.15 12.37 14.83 11.69 13.84 5.74 16.8 9.2 9.35
18.43 11.26 8.15 15.5 10.9 7.28 10.62 9.55 9.38
15.07 10.66 10.23 12.86 13.86 12.13 19.25 5.29 11.79
14.47 7.1 14.86 15.14 7.79 13.55 13.64 6.26 13.23
13.7 10.91 6.19 13.72 12.51 13.5 16.71 14.06 10.48
19.34 6.2 7.01 18.33 12.93 12.86 19.06 8.11 13.66
12.09 9.76 14.36 12.24 8.13 13.88 12.46 10.27 9.76
17.41 7.01 10.02 17.11 5.39 14.43 18.53 9.04 8.16
11.53 11.79 5.53 14.76 10.71 11.33 11.45 12.0 5.14
17.8 12.71 5.79 19.82 9.7 11.04 16.23 6.57 14.21
13.85 13.52 6.08 12.26 8.87 13.96 12.5 10.01 7.0
14.35 8.59 12.88 18.42 7.18 13.55 17.44 8.69 8.95
10.4 13.67 8.81 12.09 14.01 11.35 10.56 9.73 8.18
14.16 7.15 14.37 17.36 9.43 11.4 19.0 5.81 7.01
12.31 6.92 9.56 10.43 5.3 5.25 13.08 11.5 13.62
14.61 8.45 14.83 11.48 12.69 13.04 10.31 12.6 11.62
13.24 5.5 9.4 10.3 6.99 9.37 18.07 10.47 7.9
15.97 11.85 7.85 12.37 14.56 11.5 17.96 11.86 9.49
15.82 13.36 9.74 15.48 7.35 12.63 16.82 6.22 6.39
19.59 9.29 9.87 13.27 13.04 6.01 16.42 11.78 12.39
19.64 7.93 9.16 11.62 8.76 11.22 16.02 8.59 14.38
16.99 12.5 14.04 10.27 6.07 7.53 15.46 13.73 9.3
14.49 14.44 7.56 13.77 10.33 6.51 18.14 13.21 10.05
12.23 7.17 7.82 14.59 11.28 14.42 16.17 5.64 11.31
19.94 12.45 10.45 12.09 5.92 9.23 10.9 9.75 11.39
10.98 13.87 7.32 16.8 10.3 11.95 16.28 6.99 10.21
17.85 8.32 13.84 11.28 13.31 10.89 14.96 12.54 14.69
13.25 11.32 14.01 15.1 7.58 7.31 12.43 5.36 10.57
14.14 7.61 5.03 13.85 6.07 12.32 19.77 11.19 9.07
14.62 6.85 5.28 14.43 14.03 14.3 12.12 5.59 14.8
11.1 5.34 12.77 19.28 7.85 8.13 11.43 7.53 5.28
10.48 13.23 11.87 11.32 14.71 6.08 10.77 6.88 9.29
15.5 12.61 7.43 12.88 10.75 14.14 14.75 8.42 5.56
12.4 5.65 14.44 16.19 6.85 14.13 18.38 8.42 8.23
11.08 6.05 8.04 15.81 11.27 11.0 10.47 7.25 11.82
16.42 7.55 14.55 10.09 13.91 7.61 12.16 8.14 13.86
11.17 8.72 7.28 15.39 12.39 12.06 18.21 14.69 10.41
12.97 7.69 5.8 13.81 8.9 12.5 17.43 6.61 14.65
14.11 9.72 12.93 11.58 13.25 12.6 13.65 8.86 13.12
14.7 5.49 14.01 17.02 13.3 11.94 12.66 9.46 12.21
18.06 6.77 6.09 17.56 11.18 14.33 16.62 6.49 12.65
