13.85 9.26 5.7 14.8 6.34 6.67 13.94 8.71 9.7 18.44 8.16 14.8 17.69 12.98 9.36
18.32 10.07 11.44 13.81 11.34 7.39 16.2 13.91 10.53 18.41 11.8 8.47 11.12 14.41 6.06
10.32 7.17 12.71 13.87 14.12 8.24 17.33 10.72 11.09 15.27 10.77 6.15 19.08 6.85 8.93
19.61 14.99 8.46 15.62 5.02 13.92 19.15 13.14 6.73 17.11 11.91 8.17 16.22 14.12 7.96
15.57 5.53 11.09 18.49 5.58 9.82 12.71 9.82 11.12 14.61 14.04 7.02 16.42 7.14 9.07
12.7 10.5 13.68 14.49 11.57 6.8 15.63 5.79 10.39 12.46 8.81 5.56 11.94 12.4 14.69
14.97 9.19 12.77 10.88 7.25 7.5 11.45 8.49 11.5 15.64 14.62 8.53 17.78 5.55 5.91
13.0 10.09 9.69 19.42 10.26 10.29 17.39 12.03 11.85 11.54 7.33 12.77 19.51 5.62 7.81
17.89 5.81 6.79 12.57 14.82 8.94 13.94 14.93 13.21 19.85 5.87 13.93 19.52 13.05 12.0
13.11 13.29 7.27 15.17 9.3 13.65 16.32 10.75 12.35 16.24 6.72 12.52 11.52 9.22 12.55
16.8 5.19 9.82 13.32 9.42 13.51 12.37 8.71 14.62 12.02 5.26 10.43 13.21 11.92 12.16
11.98 6.46 6.07 13.95 14.59 9.87 15.83 9.07 7.61 10.81 5.59 10.68 19.99 5.78 12.27
15.35 9.9 14.61 17.28 10.5 14.34 17.38 10.21 9.9 12.88 14.75 5.34 14.39 11.44 12.85
19.37 12.38 10.69 11.09 9.66 14.49 11.73 6.89 9.88 12.87 14.17 5.09 11.34 8.28 5.8
14.06 12.88 5.22 15.92 8.93 10.35 13.87 14.0 14.8 10.16 11.23 5.32 13.28 6.29 5.39
12.63 8.77 8.05 12.18 9.57 9.3 18.66 7.39 5.6 11.48 14.71 13.11 10.73 6.18 9.73
17.18 10.55 14.1 11.23 8.61 11.46 14.97 9.55 12.77 12.36 8.43 5.46 15.5 13.8 8.61
16.56 12.45 8.0 17.43 6.58 11.35 10.6 8.8 10.63 17.64 6.65 6.17 15.65 11.35 5.29
18.71 11.25 12.3 12.09 11.23 7.02 12.98 12.19 8.49 11.6 9.76 9.64 15.66 6.53 10.08
15.78 14.27 10.5 17.34 5.34 6.13 12.05 10.98 5.49 10.06 5.41 11.46 12.96 8.8 11.98
19.81 14.49 11.02 17.49 12.53 9.92 14.85 7.57 13.26 16.96 13.91 5.78 19.04 6.06 7.87
19.79 13.25 6.62 12.59 10.9 5.79 15.16 7.37 6.05 17.68 6.32 5.61 17.19 10.62 10.58
17.15 7.33 14.21 17.03 8.67 9.85 13.6 14.93 11.13 11.56 6.64 6.97 18.05 10.75 7.86
10.1 14.26 9.96 17.72 12.65 11.69 15.6 12.48 8.95 11.72 7.82 10.47 12.43 13.88 13.11
11.11 6.82 9.69 14.75 14.76 13.79 10.86 11.52 10.11 15.67 9.13 14.42 19.32 9.84 11.35
11.33 9.14 11.66 16.85 9.78 8.24 11.32 6.55 11.72 14.78 14.84 9.94 10.91 11.02 12.73
12.44 9.12 11.35 16.13 6.34 5.3 12.74 7.37 14.66 18.07 10.91 5.68 17.47 13.87 7.73
17.27 12.17 14.59 15.94 9.1 14.92 17.67 12.21 5.43 13.22 7.36 5.7 14.84 12.99 6.84
11.74 11.42 6.35 14.42 9.12 14.25 16.06 13.63 9.95 16.56 8.05 5.96 12.22 11.7 14.05
17.01 5.6 11.29 19.35 13.71 9.99 19.07 12.37 5.08 10.4 12.05 9.7 14.49 8.22 6.09
16.88 9.7 11.06 15.12 11.6 9.06 13.5 7.11 7.33 18.27 12.88 14.34 16.75 10.79 9.93
19.94 10.27 14.37 15.73 11.71 5.81 15.66 12.23 7.65 19.93 5.8 13.11 12.35 10.16 7.32
16.68 7.75 7.53 10.39 7.15 7.41 10.71 13.72 6.98 11.44 8.09 9.18 18.04 9.7 13.39
19.76 6.31 11.55 11.18 6.48 10.58 15.33 10.7 7.49 15.69 8.06 14.61 12.86 5.66 8.47
12.37 9.81 6.48 13.36 11.72 6.3 14.81 6.3 12.66 18.13 12.91 10.02 10.68 13.11 14.25
18.93 12.61 12.36 18.74 11.56 8.26 10.59 5.11 7.45 14.58 9.45 7.79 14.69 7.32 10.56
19.12 8.46 9.49 17.79 8.06 14.83 17.41 11.15 5.38 14.86 12.65 6.57 18.07 14.53 12.22
15.76 6.77 5.13 17.46 13.07 6.43 16.64 14.06 13.54 15.21 13.87 14.6 12.9 8.09 12.22
18.64 8.67 5.82 18.15 9.19 13.43 14.79 7.46 6.88 16.84 9.81 14.28 15.91 12.02 11.18
13.51 5.44 14.86 16.37 10.22 8.04 19.88 7.04 9.8 11.48 8.15 11.11 12.2 12.74 8.31
