11.68 8.01 14.5 18.41 9.22 10.92 11.39 13.55 11.66
17.76 11.02 12.54 18.39 8.18 12.81 11.53 14.87 9.67
15.25 5.45 10.13 19.75 7.68 6.58 10.37 8.1 14.7
19.38 11.62 6.01 17.87 8.98 13.48 13.49 12.33 10.84
12.46 10.18 12.24 19.66 11.7 6.88 10.12 13.93 8.05
12.34 5.52 13.46 15.75 12.96 9.12 17.07 6.49 7.39
16.01 12.64 7.7 14.31 8.82 9.48 16.96 5.75 11.21
17.62 11.42 10.84 12.18 12.24 13.57 16.22 13.17 6.09
15.95 12.87 5.0 18.61 8.63 9.59 13.21 14.01 10.21
14.82 5.92 14.25 13.27 8.68 10.56 10.77 7.84 6.14
14.3 5.71 6.03 18.49 13.97 10.52 14.6 6.0 10.56
10.05 13.13 13.47 16.2 12.92 14.06 16.84 5.9 8.76
15.55 7.07 11.43 17.02 5.13 12.96 16.87 13.68 14.37
18.58 5.97 6.34 14.57 12.87 14.65 17.08 12.69 12.47
12.06 7.9 12.95 15.14 9.42 8.35 17.79 11.28 8.91
15.2 9.98 13.24 17.81 10.75 9.73 11.2 10.95 8.81
11.01 12.42 9.0 19.47 7.77 7.93 14.82 6.71 11.15
18.88 7.81 9.94 13.69 12.32 6.67 17.62 8.31 9.77
19.75 11.64 12.8 10.17 14.49 6.29 11.53 9.4 6.85
12.98 14.2 9.83 15.62 8.72 11.57 11.89 13.52 14.79
