35.31 0.0 0.0 0.0 44.82 0.0 0.0 38.66 0.0 0.0 32.63 0.0
0.0 12.95 0.0 0.0 0.0 58.68 21.39 0.0 0.0 29.82 0.0 0.0
0.0 0.0 34.27 29.74 0.0 0.0 0.0 0.0 47.03 0.0 0.0 31.03
0.0 0.0 55.33 18.52 0.0 0.0 0.0 0.0 28.53 0.0 0.0 24.09
55.62 0.0 0.0 0.0 18.78 0.0 0.0 26.25 0.0 0.0 20.41 0.0
0.0 40.33 0.0 0.0 0.0 29.93 41.65 0.0 0.0 53.82 0.0 0.0
0.0 42.27 0.0 0.0 0.0 58.83 38.37 0.0 0.0 45.7 0.0 0.0
50.81 0.0 0.0 0.0 38.38 0.0 0.0 22.73 0.0 0.0 50.82 0.0
0.0 0.0 54.38 57.97 0.0 0.0 0.0 0.0 28.52 0.0 0.0 57.53
0.0 59.75 0.0 0.0 0.0 34.62 42.85 0.0 0.0 23.4 0.0 0.0
52.04 0.0 0.0 0.0 20.84 0.0 0.0 45.58 0.0 0.0 23.19 0.0
0.0 0.0 39.87 25.38 0.0 0.0 0.0 0.0 51.29 0.0 0.0 18.81
