19.47 8.92 6.92 10.77 8.68 5.09 14.58 6.37 10.92 17.69 8.56 6.9
10.94 10.98 6.53 11.19 9.73 12.84 18.17 9.08 12.14 15.07 8.03 7.67
10.05 15.0 8.67 14.6 10.42 10.0 19.96 6.04 5.47 18.79 11.8 8.79
15.09 8.9 12.41 19.4 5.1 6.8 18.55 14.49 14.91 12.32 12.17 12.54
10.92 8.95 9.46 12.95 12.79 6.65 10.49 7.39 14.79 17.72 13.59 14.32
18.02 11.06 6.42 16.75 9.67 12.35 18.93 13.11 6.86 15.52 11.3 14.55
16.69 13.63 6.88 11.18 11.95 11.09 18.07 9.1 5.61 19.92 14.99 11.87
14.69 7.55 12.65 14.51 6.04 5.61 12.71 9.12 9.33 14.58 13.08 10.56
11.3 9.17 14.57 11.62 6.16 5.63 17.19 13.65 9.2 15.08 9.98 12.34
12.4 7.85 11.77 16.03 9.97 12.99 11.43 11.17 9.71 11.41 8.43 12.17
10.85 9.8 9.55 15.04 7.45 10.66 16.99 14.45 10.43 12.04 13.19 9.99
15.1 9.61 12.0 19.61 8.51 6.21 13.52 9.83 12.08 15.1 10.07 8.5
16.44 7.72 11.19 18.29 9.37 12.51 15.86 14.47 11.34 17.68 8.81 5.91
10.62 11.37 13.35 13.83 12.89 8.58 18.46 7.95 8.6 16.24 8.05 13.94
15.08 13.04 7.36 13.6 7.4 5.68 17.7 7.93 9.34 11.83 9.93 5.57
12.8 10.44 8.61 13.95 8.31 8.42 11.43 13.51 9.04 17.88 11.56 13.11
17.88 14.2 9.05 13.74 5.15 5.61 14.41 7.55 14.18 11.13 11.71 12.14
19.53 6.39 13.93 12.19 7.83 13.8 15.06 11.91 14.99 11.21 6.64 10.36
19.96 7.09 6.07 12.03 11.06 9.9 14.48 14.58 12.2 14.38 14.41 6.42
12.49 10.63 7.66 14.48 5.85 9.23 11.41 6.26 12.89 12.07 13.82 14.42
