14.92 10.9 10.85 18.03 10.23 8.17 16.61 14.15 11.84 12.94 14.69 9.45
10.47 6.19 7.65 18.77 14.95 14.99 10.63 10.26 11.33 18.24 10.61 10.56
12.81 9.02 7.96 16.26 10.79 12.43 15.29 12.29 9.3 13.4 8.27 5.26
13.3 7.01 12.91 12.59 8.24 9.87 12.72 12.47 7.97 17.74 12.15 5.02
10.27 12.54 10.57 15.17 6.66 14.63 12.79 13.89 13.22 10.42 12.27 14.61
15.31 14.28 8.39 14.81 9.73 10.2 12.8 11.75 10.18 13.83 13.21 8.25
18.84 12.69 5.83 16.87 7.85 10.12 11.06 9.28 11.8 14.65 9.14 14.01
13.13 7.25 13.48 15.49 13.95 5.33 11.04 8.06 14.55 16.79 13.95 13.91
11.17 10.01 9.19 14.73 9.82 10.82 12.06 7.55 7.3 18.91 10.14 8.76
15.96 9.38 14.15 14.92 12.36 10.04 12.44 8.49 14.04 14.5 7.92 7.65
11.24 5.3 13.8 14.5 8.6 8.1 19.51 11.47 5.56 10.08 8.87 6.85
17.8 13.48 13.9 17.89 11.11 6.89 16.27 11.35 8.44 10.14 5.24 10.75
19.98 10.39 14.02 14.73 13.78 11.83 18.42 9.13 7.17 14.18 12.47 13.69
13.81 6.93 5.2 13.01 11.39 7.05 16.73 10.4 7.42 15.39 6.07 8.91
18.59 7.25 12.86 14.64 6.9 7.14 13.82 7.49 5.57 16.47 8.53 6.17
15.49 10.2 6.83 16.58 11.87 9.46 14.5 13.83 10.45 12.84 5.36 7.34
16.66 8.68 12.36 11.45 6.84 6.87 17.31 12.88 9.01 12.01 14.45 8.46
15.17 6.07 8.4 15.84 11.66 12.71 11.88 8.82 9.08 14.17 5.58 10.88
19.08 5.15 13.94 12.5 11.34 13.43 16.25 12.06 12.27 16.25 11.88 9.83
10.28 8.93 11.66 18.62 8.51 11.88 14.58 11.42 10.36 13.94 13.06 12.96
17.36 13.43 9.32 19.79 6.58 10.3 18.3 10.05 6.96 13.2 7.97 9.37
19.42 10.61 10.73 15.79 10.09 10.42 17.26 8.52 14.87 14.77 8.15 5.9
13.93 7.92 10.98 18.63 8.99 8.2 13.45 7.49 7.69 13.46 5.69 5.59
19.95 12.14 7.9 14.66 14.86 8.81 14.75 7.32 8.96 16.36 9.33 7.55
17.52 10.38 11.38 12.19 9.46 8.26 17.15 12.68 7.57 13.33 9.29 14.89
11.6 9.91 6.12 16.97 12.54 14.32 19.38 7.39 6.91 13.83 6.48 5.66
19.02 12.34 13.21 10.93 11.97 14.58 12.15 12.31 5.04 16.83 6.93 9.82
10.04 14.17 14.6 17.06 13.19 8.46 11.07 7.25 11.09 12.72 13.85 11.71
19.53 10.93 7.44 14.01 12.64 11.55 12.77 7.18 10.94 17.89 5.25 13.22
15.97 6.88 14.27 10.48 10.03 5.9 18.0 6.4 9.62 19.91 7.44 5.99
